,Comparison of Desktop Intel® Processors ,,,,,,,,,,Last Revision : 2019.12.2,,,,,,,,,,,,,,,,
,Product Collection,Processor Number,Quarter Launch,Year launch,Lithography (nm),# of Cores,# of Threads,Processor Base Frequency (GHz),Cache (MB),TDP (W),Max Turbo Frequency (GHz),Intel® Turbo Boost Max Technology 3.0 Frequency (GHz),Memory Types,Max # of Memory Channels,Intel® Processor Graphics,Graphics Base Frequency (MHz),Graphics Max Dynamic Frequency (GHz),Sockets Supported,Intel® Turbo Boost Technology ,Intel® vPro™ Platform Eligibility,Intel® Hyper-Threading Technology ,Intel® Virtualization Technology  (VT-x),Enhanced Intel SpeedStep® Technology,Intel® Stable Image Platform Program (SIPP),Intel® Turbo Boost Max Technology 3.0,Intel® AES New Instructions,Intel® Memory Protection Extensions (Intel® MPX)
,7th Gen  ,i3-7100T,Q1,2017,14,2,4,3.40,3,35,N/A,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.10,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i3-7100,Q1,2017,14,2,4,3.90,3,51,N/A,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.10,FCLGA1151,No,No,Yes,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i5-7600K,Q1,2017,14,4,4,3.80,6,91,4.20,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.15,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i5-7600T,Q1,2017,14,4,4,2.80,6,35,3.70,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.10,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,7th Gen  ,i5-7600,Q1,2017,14,4,4,3.50,6,65,4.10,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.15,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,7th Gen  ,i5-7500,Q1,2017,14,4,4,3.40,6,65,3.80,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.10,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,7th Gen  ,i5-7500T,Q1,2017,14,4,4,2.70,6,35,3.30,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.10,FCLGA1151,2.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes
,7th Gen  ,i5-7400T,Q1,2017,14,4,4,2.40,6,35,3.00,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.00,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i5-7400,Q1,2017,14,4,4,3.00,6,65,3.50,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.00,FCLGA1151,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i7-7700,Q1,2017,14,4,8,3.60,8,65,4.20,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.15,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,7th Gen  ,i7-7700K,Q1,2017,14,4,8,4.20,8,91,4.50,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.15,FCLGA1151,2.0,No,Yes,Yes,Yes,No,No,Yes,Yes
,7th Gen  ,i7-7700T,Q1,2017,14,4,8,2.90,8,35,3.80,N/A,"DDR4-2133/2400, DDR3L-1333/1600 ",2, HD  630,350,1.15,FCLGA1151,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,6th Gen  ,i5-6685R,Q2,2016,14,4,4,3.20,6,65,3.80,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, Iris® Pro  580,350,1.15,FCBGA1440,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i5-6585R,Q2,2016,14,4,4,2.80,6,65,3.60,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, Iris® Pro  580,350,1.10,FCBGA1440,2.0,No,No,Yes,Yes,No,No,Yes,Yes
,6th Gen  ,i7-6785R,Q2,2016,14,4,8,3.30,8,65,3.90,N/A,"DDR4-1866/2133, DDR3L-1333/1600 ",2, Iris® Pro  580,350,1.15,FCBGA1440,2.0,No,Yes,Yes,Yes,No,No,Yes,Yes
